Chapter,Country,Ratification,Treaty,Signature
Traffic in Persons,Sri Lanka,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",14 Jul 1949 s
Traffic in Persons,Sweden,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",25 Feb 1952 s
Traffic in Persons,Switzerland,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",23 Sep 1949 A
Traffic in Persons,Turkey,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",13 Sep 1950 A
Traffic in Persons,United Kingdom of Great Britain and Northern Ireland,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",4 May 1949 s
Traffic in Persons,United States of America,,"Protocol amending the International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, and the International Convention for the Suppression of the White Slave Traffic, signed at Paris on 4 May 1910.   Lake Success, New York, 4 May 1949",14 Aug 1950 A
Traffic in Persons,Algeria,31 Oct 1963 a,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",
Traffic in Persons,Australia,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",8 Dec 1949
Traffic in Persons,Austria,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",7 Jun 1950
Traffic in Persons,Bahamas,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",10 Jun 1976
Traffic in Persons,Belgium,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",13 Oct 1952
Traffic in Persons,Benin,4 Apr 1962 d,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",
Traffic in Persons,Cameroon,3 Nov 1961 d,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",
Traffic in Persons,Canada,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",4 May 1949
Traffic in Persons,Central African Republic,4 Sep 1962 d,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",
Traffic in Persons,Chile,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",20 Jun 1949
Traffic in Persons,China,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",4 May 1949
Traffic in Persons,Congo,15 Oct 1962 d,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",
Traffic in Persons,Côte d'Ivoire,8 Dec 1961 d,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",
Traffic in Persons,Cuba,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",4 Aug 1965
Traffic in Persons,Cyprus,16 May 1963 d,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",
Traffic in Persons,Czech Republic,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",30 Dec 1993
Traffic in Persons,Denmark,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",1 Mar 1950
Traffic in Persons,Egypt,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",16 Sep 1949
Traffic in Persons,Fiji,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",12 Jun 1972
Traffic in Persons,Finland,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",31 Oct 1949
Traffic in Persons,France,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",5 May 1949
Traffic in Persons,Germany,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",29 May 1973
Traffic in Persons,Ghana,7 Apr 1958 d,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",
Traffic in Persons,India,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",28 Dec 1949
Traffic in Persons,Iran (Islamic Republic of),,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",30 Dec 1959
Traffic in Persons,Iraq,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",1 Jun 1949
Traffic in Persons,Ireland,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",19 Jul 1961
Traffic in Persons,Italy,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",13 Nov 1952
Traffic in Persons,Jamaica,30 Jul 1964 d,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",
Traffic in Persons,Luxembourg,,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",14 Mar 1955
Traffic in Persons,Madagascar,9 Oct 1963 d,"International Agreement for the Suppression of the White Slave Traffic, signed at Paris on 18 May 1904, amended by the Protocol signed at Lake Success, New York, 4 May 1949.   Lake Success, New York, 4 May 1949",
